number,origin kanji,kanji,reading,particle_before,particle_after,meaning,usefulness,components,labels,description
450,程,過程,かてい,,,a process,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1644-surpass-too-much-%E9%81%8E"">過</a> (surpass / too much) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/451-extent-%E7%A8%8B"">程</a> (extent)
 = 過程 (a process)",,
450,程,程々,ほどほど,,にｘｘｘｘ,don't do XXX too much!,★☆☆☆☆,,"<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/13"" title=""Jukugo which don’t have okurigana generally use the ON-yomi."">KUNKUN</a>",
452,契,契約,けいやく,,,contract,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/455-contract-%E5%A5%91"">契</a> (contract) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1429-promise-roughly-speaking-%E7%B4%84"">約</a> (promise/ roughly speaking)
 = 契約 (contract)",,<p>contract (one of the most hated words in the Japanese language)</p>
453,喫,喫煙,きつえん,,,smoking,☆☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/456-enjoy-a-drink-and-a-smoke-%E5%96%AB"">喫</a> (enjoy a drink and a smoke) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/583-smoky-%E7%85%99"">煙</a> (smoky)
 = 喫煙 (smoking)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/16"" title=""(newspaper word) These words are only HEARD or READ, but they’re not SAID."">NP</a>","<p>the act of smoking. You'll see this on signs a lot, meaning 'this is the smoking section.'</p>"
454,潔,清潔,せいけつ,,な,pure,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/468-pure-%E6%B8%85"">清</a> (pure) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/457-honorable-%E6%BD%94"">潔</a> (honorable)
 = 清潔 (pure)",,"<p>pure, clean, undiluted. More often used figuratively - about morals and such. Or ＊ahem＊ ethnicity.</p>"
454,潔,不潔,ふけつ,,な,filthy,☆☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/13-un-%E4%B8%8D"">不</a> (un) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/457-honorable-%E6%BD%94"">潔</a> (honorable)
 = 不潔 (filthy)",,
456,柱,電柱,でんちゅう,,,telephone pole,☆☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1403-electricity-%E9%9B%BB"">電</a> (electricity) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/459-pillar-%E6%9F%B1"">柱</a> (pillar)
 = 電柱 (telephone pole)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/15"" title=""a NEOLOGISM. For instance, wheel-chair became 車椅子　（car-chair), and space-ship became 宇宙船 (universe vessel)."">NEO</a>","<p>telephone pole. Although, since in Japan all the telephone poles double as light poles (街灯) AND are festooned with every other imaginable cable to boot, I have no idea which word people use!</p>"
458,駐,駐車所,ちゅうしゃじょ,,,parking lot.,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/461-stop-at-%E9%A7%90"">駐</a> (stop at) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1058-car-%E8%BB%8A"">車</a> (car) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/506-area-attribute-%E6%89%80"">所</a> (area / attribute)
 = 駐車所 (parking lot.)",,"<p>parking lot. Interestingly, there is no word for 'parking space,' in the sense of ""Keep a lookout for a good space!""</p>"
458,駐,駐車禁止,ちゅうしゃきんし,,,no parking,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/461-stop-at-%E9%A7%90"">駐</a> (stop at) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1058-car-%E8%BB%8A"">車</a> (car) + <a href=""http://www.kanjidamage.com/kanji/353-prohibition-%E7%A6%81"">禁</a><a href=""http://www.kanjidamage.com/kanji/271-stop-%E6%AD%A2"">止</a> (forbidden)
 = 駐車禁止 (no parking)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/16"" title=""(newspaper word) These words are only HEARD or READ, but they’re not SAID."">NP</a>",
459,害,公害,こうがい,,,pollution.,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/137-public-%E5%85%AC"">公</a> (public) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/462-damage-%E5%AE%B3"">害</a> (damage)
 = 公害 (pollution.)",,"<p>pollution. Has a more broad meaning than the related word 汚染（おせん）。 Not just dirty smoggy air, but also noise pollution, the annoyance of someone talking on a cellphone on a train, and 情報公害　（じょうほうこうがい）: ""ad pollution"" - the inescapable advertisements one sees everywhere. BOOBOO:If you want to say ""environmental pollution,"" you have to use 汚染、　not 公害。</p>"
459,害,被害,ひがい,,,casualties,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1511-get-injured-%E8%A2%AB"">被</a> (get injured) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/462-damage-%E5%AE%B3"">害</a> (damage)
 = 被害 (casualties)",,"<p>damage (to property) or casualties (human): used about earthquakes, wars, and crimes.</p>"
459,害,被害者,ひがいしゃ,,,victim,★★☆☆☆,"<a href=""http://www.kanjidamage.com/kanji/1511-get-injured-%E8%A2%AB"">被</a><a href=""http://www.kanjidamage.com/kanji/462-damage-%E5%AE%B3"">害</a> (casualties) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/255-professional-%E8%80%85"">者</a> (professional)
 = 被害者 (victim)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/16"" title=""(newspaper word) These words are only HEARD or READ, but they’re not SAID."">NP</a>",
460,割,役割,やくわり,,,role,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1293-role-%E5%BD%B9"">役</a> (role) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/463-divide-%E5%89%B2"">割</a> (divide)
 = 役割 (role)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/13"" title=""Jukugo which don’t have okurigana generally use the ON-yomi."">KUNKUN</a>","<p>role, but more general and figurative than just 役（やく）。 Gay dudes who are top or bottom - that's 役割。 If your role is 'the black sheep of the family,"" that's 役割。 The guy in the boy-band who is ""the edgy one."" The person on the reality -tv show who is ""the crazy one.""</p> <p>
The verb is 果たす（はたす）, as in XXX　の役割を果たす（ to play the role of XXX)


</p>"
460,割,一割,いちわり,,,10 percent,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1-one-line-radical-%E4%B8%80"">一</a> (one) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/463-divide-%E5%89%B2"">割</a> (divide)
 = 一割 (10 percent)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/38"" title=""One of the more psycho things about Japanese is that EVERY OBJECT EVER uses ENTIRELY DIFFERENT WORDS for counting itself."">COUNTER</a> <a class=""label label-info"" href=""http://www.kanjidamage.com/tags/43"" title=""sometimes Japanese people get tired of writing the okurigana. They don’t write it BUT THEY STILL PRONOUNCE IT"">NOKURI</a>",
461,素,素材,そざい,,,raw material,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/464-element-%E7%B4%A0"">素</a> (element) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/586-raw-materials-%E6%9D%90"">材</a> (raw materials)
 = 素材 (raw material)",,"<p>raw material - both literally and figuratively (as in, the raw data that you base your essay or report or novel on) (""I'm working on materal for my novel!"")</p>"
461,素,酸素,さんそ,,,oxygen.,☆☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/619-sour-%E9%85%B8"">酸</a> (sour) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/464-element-%E7%B4%A0"">素</a> (element)
 = 酸素 (oxygen.)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/9"" title=""FR is short for FUCKED ROOTS. They say that kanji are ‘windows into the past,’ meaning that since they look like the things they depict, we can see the values of the ancient society that made them."">FR</a>","<p>oxygen - which is kind of a Fucked Roots if you think about it - ""sour element?"" What have they got against oxygen?!? What SHOULD we be breathing?</p>"
461,素,二酸化炭素,にさんかたんそ,,,carbon dioxide,☆☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/2-two-%E4%BA%8C"">二</a> (two) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/619-sour-%E9%85%B8"">酸</a> (sour) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/64-transform-%E5%8C%96"">化</a> (transform) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/832-carbon-%E7%82%AD"">炭</a> (carbon) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/464-element-%E7%B4%A0"">素</a> (element)
 = 二酸化 炭素 (carbon dioxide)",,
462,憲,憲法,けんぽう,,,constitution,★☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/465-constitution-%E6%86%B2"">憲</a> (constitution) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1258-law-%E6%B3%95"">法</a> (law)
 = 憲法 (constitution)",,
464,請,請求,せいきゅう,,する　or に,"claim, demand",★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/467-request-%E8%AB%8B"">請</a> (request) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/725-demandask-%E6%B1%82"">求</a> (demand/ask)
 = 請求 (claim, demand)",,"<p>Usually used in business. On-demand service. A bill for services.   When used with に、 it means, ""According to the customer's request,"" or ""According to her wishes.""</p>"
466,精,精神,せいしん,,,spirit,★★★★☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/469-spirit-%E7%B2%BE"">精</a> (spirit) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1498-god-kanji-%E7%A5%9E"">神</a> (GOD kanji)
 = 精神 (spirit)",,"<p>spirit- both in the sense of psychology and in the sense of religion. If you want to say ""Samurai spirits!"" this is the one you'll use.</p>"
466,精,精一杯,せいいっぱい,,,with all one's might,★☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/469-spirit-%E7%B2%BE"">精</a> (spirit) + <a href=""http://www.kanjidamage.com/kanji/1-one-line-radical-%E4%B8%80"">一</a><a href=""http://www.kanjidamage.com/kanji/360-one-cup-of-liquid-%E6%9D%AF"">杯</a> (one cup-full)
 = 精一杯 (with all one's might)",,
466,精,精神的,せいしんてき,,な,spiritual.,★☆☆☆☆,"<a href=""http://www.kanjidamage.com/kanji/469-spirit-%E7%B2%BE"">精</a><a href=""http://www.kanjidamage.com/kanji/1498-god-kanji-%E7%A5%9E"">神</a> (spirit) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1430-motivation-al-%E7%9A%84"">的</a> (motivation / '-al')
 = 精神的 (spiritual.)",,
468,情,感情,かんじょう,,,"a feeling, an emotion",★★★★★,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/755-feeling-%E6%84%9F"">感</a> (feeling) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/471-emotion-%E6%83%85"">情</a> (emotion)
 = 感情 (a feeling, an emotion)",,
468,情,事情,じじょう,,,circumstances,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1660-action-incident-%E4%BA%8B"">事</a> (action/ incident) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/471-emotion-%E6%83%85"">情</a> (emotion)
 = 事情 (circumstances)",,"<p>circumstances. A euphemism for 'bad situation': crushing debt, mother is a prostitute, etc, in trouble with the mob, etc. </p> <p>
  彼女、事情がありそうね。 (She looks like she comes <a href=""http://achewood.com/index.php?date=06142005"">from Circumstances</a>, doesn't she?)</p> <p>

事情 also differs from other 'situation' words because it emphasizes the circumstances behind a person's actions. (i.e. the boss says, 'You were late to work again, but if you explain your situation, I might not punish you.')


</p>"
468,情,愛情,あいじょう,,,affection : more than friendship and less than love.,★☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/610-love-%E6%84%9B"">愛</a> (love) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/471-emotion-%E6%83%85"">情</a> (emotion)
 = 愛情 (affection : more than friendship and less than love.)",,
468,情,表情,ひょうじょう,,,facial expression,☆☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/767-express-%E8%A1%A8"">表</a> (express) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/471-emotion-%E6%83%85"">情</a> (emotion)
 = 表情 (facial expression)",,"<p>facial expression - although most people say ""XXXの顔をした”　（ｘｘｘのかおをした）, meaning ""She made an xxx-face.""</p>"
472,性,性,せい,XXX,,-ity,★★★☆☆,,"<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/37"" title=""Suffix"">SUF</a>","<p>SUFFIX which turns an adjective into a noun: possible+性=possibility. creative+性=creativity. 男性　＝ man, but 男性性＝ masculinity.</p>"
473,姓,姓名,せいめい,,,full name,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/476-family-name-%E5%A7%93"">姓</a> (family name) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/119-name-famous-%E5%90%8D"">名</a> (name, famous)
 = 姓名 (full name)",,<p>one's full name -  first and last names.</p>
475,株,株式,かぶしき,,,stocks,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/478-share-stock-%E6%A0%AA"">株</a> (share, stock) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/659-ritual-%E5%BC%8F"">式</a> (ritual)
 = 株式 (stocks)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/16"" title=""(newspaper word) These words are only HEARD or READ, but they’re not SAID."">NP</a>",<p>This is the word used in financial terms about stocks IN GENERAL - IPO or 'go public' or 'stock amoritization' and the like</p>
477,称,対称的,たいしょうてき,,な,symmetrical,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1010-against-%E5%AF%BE"">対</a> (against) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/479-symmetry-%E7%A7%B0"">称</a> (symmetry) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1430-motivation-al-%E7%9A%84"">的</a> (motivation / '-al')
 = 対称的 (symmetrical)",,<p>symmetrical (非対称的な　（ひたいしょうてきな = assymetrical!)</p>
479,乾,乾燥,かんそう,,する,dry out,★★☆☆☆,,,<p>to become dry or arid (weather or place) ; to dry out or desiccate.</p>
481,毒,中毒,ちゅうどく,,,addict,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/489-middle-%E4%B8%AD"">中</a> (middle) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/483-poison-addict-%E6%AF%92"">毒</a> (poison/ addict)
 = 中毒 (addict)",,
481,毒,有毒,ゆうどく,,な,"toxic, poisonous",★☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1100-exist-%E6%9C%89"">有</a> (exist) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/483-poison-addict-%E6%AF%92"">毒</a> (poison/ addict)
 = 有毒 (toxic, poisonous)",,
481,毒,毒薬,どくやく,,する,poison,☆☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/483-poison-addict-%E6%AF%92"">毒</a> (poison/ addict) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1651-medicine-%E8%96%AC"">薬</a> (medicine)
 = 毒薬 (poison)",,"<p>regular ,intentional poison- as opposed to toxic pollutants or drugs.</p>"
483,梅,梅酒,うめしゅ,,,plum liquor,★☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/485-plum-%E6%A2%85"">梅</a> (plum) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/578-liquor-%E9%85%92"">酒</a> (liquor)
 = 梅酒 (plum liquor)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/36"" title=""'KUN ON' words are jukugo which mix kun and on yomi. "">KUN ON</a>",
485,悔,後悔,こうかい,,する,regret,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1234-afterwards-behind-%E5%BE%8C"">後</a> (afterwards / behind) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/487-regret-%E6%82%94"">悔</a> (regret)
 = 後悔 (regret)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/8"" title=""FP stands for FUCKED PRONUNCIATION – the Japanese equivalent of English’s silent ‘p’ in ‘psychology’"">FP</a>","<p>the most general, broad, useful word for regret</p>"
486,侮,侮辱,ぶじょく,,する,insult,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/488-despise-%E4%BE%AE"">侮</a> (despise) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1174-humiliate-%E8%BE%B1"">辱</a> (humiliate)
 = 侮辱 (insult)",,<p>to insult (to be insulted : 侮辱を受ける　（ぶじょくをうける）)</p>
488,忠,忠実,ちゅうじつ,,な or 　に,faithful,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/490-loyalty-%E5%BF%A0"">忠</a> (loyalty) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/964-truth-%E5%AE%9F"">実</a> (truth)
 = 忠実 (faithful)",,"<p>someone who is faithful in doing his/her duties. Also means like a movie which is faithful to the book, or a translation which is faithful to the original. Or even a forgery which copies the original dollar bill completely well.</p>"
488,忠,忠告,ちゅうこく,,する,admonish,★☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/490-loyalty-%E5%BF%A0"">忠</a> (loyalty) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/807-inform-%E5%91%8A"">告</a> (inform)
 = 忠告 (admonish)",,"<p>admonishing negative advice: ""Don't open that door!"" ""Don't swim naked!""</p>"
489,患,患者,かんじゃ,,さん,a patient,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/491-medical-patient-%E6%82%A3"">患</a> (medical patient) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/255-professional-%E8%80%85"">者</a> (professional)
 = 患者 (a patient)",,<p>a patient. Easy to remember because in California the かんじゃ can legally get ガンジャ.</p>
490,仲,仲間,なかま,,,friendship,★★★★☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/492-friendship-%E4%BB%B2"">仲</a> (friendship) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/162-a-period-of-time-%E9%96%93"">間</a> (a period of time)
 = 仲間 (friendship)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/13"" title=""Jukugo which don’t have okurigana generally use the ON-yomi."">KUNKUN</a>","<p>friendship, OR membership in a group (i.e. working for the same company). </p> <p>
You'll also hear things like this: ""The squid is the octopus' 仲間.""</p>"
494,騒,騒音,そうおん,,,din,☆☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/496-make-noise-%E9%A8%92"">騒</a> (make noise) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/156-sound-%E9%9F%B3"">音</a> (sound)
 = 騒音 (din)",,"<p>din, discord</p>"
496,属,所属,しょぞく,,する,to belong to a department,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/506-area-attribute-%E6%89%80"">所</a> (area / attribute) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/498-genusaffiliation-%E5%B1%9E"">属</a> (genus/affiliation)
 = 所属 (to belong to a department)",,"<p>to belong to such-and-such a department. ""Hi! I'm Ross Henderson, from Marketing!""</p>"
496,属,金属,きんぞく,,,metallic,★☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/909-gold-%E9%87%91"">金</a> (gold) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/498-genusaffiliation-%E5%B1%9E"">属</a> (genus/affiliation)
 = 金属 (metallic)",,
496,属,付属,ふぞく,xxx,yyy,physically attached,★☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/987-stick-to-%E4%BB%98"">付</a> (stick to) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/498-genusaffiliation-%E5%B1%9E"">属</a> (genus/affiliation)
 = 付属 (physically attached)",,<p>to be physically attached or part of a set. The bolts and nuts that come with an ikea furniture thing.</p>
497,居,隠居,いんきょ,,する,retire,☆☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/793-hide-%E9%9A%A0"">隠</a> (hide) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/499-live-%E5%B1%85"">居</a> (live)
 = 隠居 (retire)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/9"" title=""FR is short for FUCKED ROOTS. They say that kanji are ‘windows into the past,’ meaning that since they look like the things they depict, we can see the values of the ancient society that made them."">FR</a> <a class=""label label-info"" href=""http://www.kanjidamage.com/tags/8"" title=""FP stands for FUCKED PRONUNCIATION – the Japanese equivalent of English’s silent ‘p’ in ‘psychology’"">FP</a>","<p> retire, retired person (Fucked Roots - retirement is cowardly? I see! I'll work for the Emperor until my arms fall off!)</p>"
499,泥,泥棒,どろぼう,,,robber,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/501-mud-%E6%B3%A5"">泥</a> (mud) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/963-pole-%E6%A3%92"">棒</a> (pole)
 = 泥棒 (robber)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/13"" title=""Jukugo which don’t have okurigana generally use the ON-yomi."">KUNKUN</a> <a class=""label label-info"" href=""http://www.kanjidamage.com/tags/31"" title=""in practice, this word written in hiragana or katakana, not in kanji form, half the time."">1/2 KANA</a>",<p>a robber - not like a mugger but like a break-into-your-house-when-you're-not-home guy</p>
499,泥,泥酔者,でいすいしゃ,,,shit-faced,★☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/501-mud-%E6%B3%A5"">泥</a> (mud) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/579-drunk-%E9%85%94"">酔</a> (drunk) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/255-professional-%E8%80%85"">者</a> (professional)
 = 泥酔者 (shit-faced)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/20"" title=""Japanese sarcasm tends towards subtle irony ,and can be pretty rewarding if you can determine that a joke has, in fact, been made. "">SARC</a>",<p>someone who is shit-faced drunk (泥酔する：  to BE shit-faced)</p>
500,尿,夜尿症,やにょうしょう,,,bed-wetting,☆☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/117-late-night-%E5%A4%9C"">夜</a> (late night) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/502-urine-%E5%B0%BF"">尿</a> (urine) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1352-symptom-%E7%97%87"">症</a> (symptom)
 = 夜尿症 (bed-wetting)",,<p>the reason you hate doing your mom's laundry.</p>
501,尻,尻尾,しっぽ,,,tail,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/503-butt-%E5%B0%BB"">尻</a> (butt) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/513-tail-%E5%B0%BE"">尾</a> (tail)
 = 尻尾 (tail)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/12"" title=""Yet another only-in-Japanese headache: All kanji are written as hiragana. . . TO SOME EXTENT."">KANA</a> <a class=""label label-info"" href=""http://www.kanjidamage.com/tags/8"" title=""FP stands for FUCKED PRONUNCIATION – the Japanese equivalent of English’s silent ‘p’ in ‘psychology’"">FP</a>",
501,尻,桃尻,ももじり,,,rad booty,★☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1657-peach-%E6%A1%83"">桃</a> (peach) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/503-butt-%E5%B0%BB"">尻</a> (butt)
 = 桃尻 (rad booty)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/13"" title=""Jukugo which don’t have okurigana generally use the ON-yomi."">KUNKUN</a>","<p>a peach-shaped ass. This is considered the ideal feminine shape by Japanese people, since they don't have a lot to work with. Your mom's got a momoshiri, too- it's covered with fuzz.</p>"
502,刷,印刷,いんさつ,,する,print,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1465-stamp-%E5%8D%B0"">印</a> (stamp) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/504-print-%E5%88%B7"">刷</a> (print)
 = 印刷 (print)",,"<p>the physical process of printing, as in printing press - not to be confused with 出版 (しゅっぱん＝publishing), which is an entire industry.</p>"
504,所,短所,たんしょ,,,flaw,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1046-short-brief-%E7%9F%AD"">短</a> (short / brief) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/506-area-attribute-%E6%89%80"">所</a> (area / attribute)
 = 短所 (flaw )",,"<p>weak point, flaw</p>"
505,肩,双肩,そうけん,,にかかっている,to bear on one's shoulders,★☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/90-pair-%E5%8F%8C"">双</a> (pair) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/507-shoulder-%E8%82%A9"">肩</a> (shoulder)
 = 双肩 (to bear on one's shoulders)",,"<p>to bear a burden, a responsibility.</p>"
505,肩,肩車,かたぐるま,,,piggy-back ride,☆☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/507-shoulder-%E8%82%A9"">肩</a> (shoulder) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1058-car-%E8%BB%8A"">車</a> (car)
 = 肩車 (piggy-back ride)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/13"" title=""Jukugo which don’t have okurigana generally use the ON-yomi."">KUNKUN</a>",
506,雇,解雇,かいこ,,する,to fire,☆☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1199-solve-untie-%E8%A7%A3"">解</a> (solve / untie) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/508-hire-%E9%9B%87"">雇</a> (hire)
 = 解雇 (to fire)",,"<p>to fire (although mostly people just say, クビになった！ (literally: My throat was cut!))</p>"
507,房,女房,にょうぼう,,,one's own wife,★☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/6-woman-%E5%A5%B3"">女</a> (woman) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/509-wifecluster-%E6%88%BF"">房</a> (wife/cluster)
 = 女房 (one's own wife)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/9"" title=""FR is short for FUCKED ROOTS. They say that kanji are ‘windows into the past,’ meaning that since they look like the things they depict, we can see the values of the ancient society that made them."">FR</a> <a class=""label label-info"" href=""http://www.kanjidamage.com/tags/26"" title=""formal - you only use this at work or at your boyfriend's parents' house."">F</a>",<p>A somewhat formal term for one's own wife (FR： female cluster? What's <em>that</em> about!??)</p>
507,房,暖房,だんぼう,,,heating,☆☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1109-warm-place-%E6%9A%96"">暖</a> (warm place) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/509-wifecluster-%E6%88%BF"">房</a> (wife/cluster)
 = 暖房 (heating)",,"<p>heating : central heating, electric heater, an air-conditioner set to ""heat,"" etc.</p>"
511,尾,尾行,びこう,,する,to tail,☆☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/513-tail-%E5%B0%BE"">尾</a> (tail) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1229-go-%E8%A1%8C"">行</a> (go)
 = 尾行 (to tail)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/15"" title=""a NEOLOGISM. For instance, wheel-chair became 車椅子　（car-chair), and space-ship became 宇宙船 (universe vessel)."">NEO</a>",<p>tail someone like a detective</p>
